key;labels;storypoints;timespent
TASK-0160;[];3.0;81000.0
TASK-0161;[];3.0;None
TASK-0162;[];5.0;None
TASK-0163;[];1.0;21600.0
TASK-0164;[];1.0;None
TASK-0165;[];5.0;3600.0
TASK-0166;[];2.0;None
TASK-0167;[];5.0;63000.0
TASK-0168;[];1.0;7200.0
TASK-0169;[];1.0;18000.0
TASK-0170;['LABEL-06'];0.5;25200.0
TASK-0171;None;None;None
TASK-0172;None;None;None
TASK-0173;[];3.0;72000.0
TASK-0174;[];3.0;75600.0
TASK-0175;None;None;None
TASK-0176;[];5.0;3600.0
TASK-0177;[];2.0;54000.0
TASK-0178;[];4.0;99000.0
TASK-0179;['LABEL-02'];3.0;68400.0
TASK-0180;[];5.0;32400.0
TASK-0181;[];1.0;28800.0
TASK-0182;[];1.0;25200.0
TASK-0183;[];3.0;79200.0
TASK-0184;[];5.0;None
TASK-0185;['LABEL-06'];3.0;36000.0
TASK-0186;[];1.0;43200.0
TASK-0187;[];3.0;3600.0
TASK-0188;[];2.0;None
TASK-0189;[];3.0;86400.0
TASK-0190;['LABEL-02'];None;3600.0
TASK-0191;['LABEL-14', 'LABEL-04'];1.0;7200.0
TASK-0192;[];2.0;14400.0
TASK-0193;[];3.0;None
TASK-0194;[];1.0;None
TASK-0195;[];1.0;25200.0
TASK-0196;[];5.0;97200.0
TASK-0197;[];1.0;3600.0
TASK-0198;[];1.0;14400.0
TASK-0199;['LABEL-02'];1.0;18000.0
TASK-0200;[];1.0;None
TASK-0201;[];5.0;180000.0
TASK-0202;[];4.0;27000.0
TASK-0203;None;None;None
TASK-0204;['LABEL-02'];None;1800.0
TASK-0205;['LABEL-06'];4.0;18000.0
TASK-0206;['LABEL-06'];4.0;108000.0
TASK-0207;[];0.5;7200.0
TASK-0208;['LABEL-02'];None;7200.0
TASK-0209;['LABEL-06'];3.0;54000.0
TASK-0210;[];1.0;10800.0
TASK-0211;[];1.0;14400.0
